Year,Material,Tons
1/1/2001,Aluminum,99610.732319
1/1/2001,Antimony,0.000000
1/1/2001,Arsenic,0.000000
1/1/2001,Baryte,0.000000
1/1/2001,Beryllium,0.000000
1/1/2001,Bismuth,0.000000
1/1/2001,Borate,0.000000
1/1/2001,Boron,6.604194
1/1/2001,Cadmium,3.879858
1/1/2001,Cerium (REE),0.000000
1/1/2001,Chromium,9654.073834
1/1/2001,Cobalt,127.761462
1/1/2001,Copper,40898.654392
1/1/2001,Dysprosium (REE),5.078763
1/1/2001,Erbium (REE),0.000000
1/1/2001,Europium (REE),0.000000
1/1/2001,Fluorspar,0.000000
1/1/2001,Gadolinium (REE),0.000000
1/1/2001,Gallium,0.143068
1/1/2001,Germanium,0.000000
1/1/2001,Gold,0.000000
1/1/2001,Graphite,0.000000
1/1/2001,Hafnium,3.024000
1/1/2001,Helium,0.000000
1/1/2001,Holmium (REE),0.000000
1/1/2001,Indium,6.281427
1/1/2001,Iridium,0.000000
1/1/2001,Iron,7852.959154
1/1/2001,Lanthanum (REE),0.000000
1/1/2001,Lead,3194.485417
1/1/2001,Lithium,123.200962
1/1/2001,Lutetium (REE),0.000000
1/1/2001,Magnesium,977.812775
1/1/2001,Manganese,2264.192204
1/1/2001,Molybdenum,4429.029682
1/1/2001,Neodymium (REE),17.639145
1/1/2001,Nickel,-10202.477541
1/1/2001,Niobium,243.228480
1/1/2001,Palladium,0.000000
1/1/2001,Phosphate rock,0.000000
1/1/2001,Phosphorus,0.000000
1/1/2001,Platinum,0.000000
1/1/2001,Praseodymium (REE),19.830203
1/1/2001,Rhenium,0.000000
1/1/2001,Rhodium,0.000000
1/1/2001,Ruthenium,0.000000
1/1/2001,Samarium (REE),0.000000
1/1/2001,Scandium (REE),0.000000
1/1/2001,Selenium,0.459324
1/1/2001,Silicon,1449.723874
1/1/2001,Silver,30.957980
1/1/2001,Steel,8471222.662625
1/1/2001,Tantalum,-0.129920
1/1/2001,Tellurium,0.905045
1/1/2001,Terbium (REE),6.604000
1/1/2001,Thulium,0.000000
1/1/2001,Tin,690.122800
1/1/2001,Titanium,0.000000
1/1/2001,Tungsten,15.120000
1/1/2001,Vanadium,597.869800
1/1/2001,Yetterbium (REE),0.000000
1/1/2001,Yttrium (REE),3.024000
1/1/2001,Zinc,40624.767636
1/1/2001,Zirconium,93.744000
1/1/2002,Aluminum,136297.422549
1/1/2002,Antimony,0.000000
1/1/2002,Arsenic,0.000000
1/1/2002,Baryte,0.000000
1/1/2002,Beryllium,0.000000
1/1/2002,Bismuth,0.000000
1/1/2002,Borate,0.000000
1/1/2002,Boron,6.964530
1/1/2002,Cadmium,6.398684
1/1/2002,Cerium (REE),0.000000
1/1/2002,Chromium,33472.636739
1/1/2002,Cobalt,144.441394
1/1/2002,Copper,51063.937305
1/1/2002,Dysprosium (REE),5.085484
1/1/2002,Erbium (REE),0.000000
1/1/2002,Europium (REE),0.000000
1/1/2002,Fluorspar,0.000000
1/1/2002,Gadolinium (REE),0.000000
1/1/2002,Gallium,0.176020
1/1/2002,Germanium,0.000000
1/1/2002,Gold,0.000000
1/1/2002,Graphite,0.000000
1/1/2002,Hafnium,5.366012
1/1/2002,Helium,0.000000
1/1/2002,Holmium (REE),0.000000
1/1/2002,Indium,11.019214
1/1/2002,Iridium,0.000000
1/1/2002,Iron,9105.814905
1/1/2002,Lanthanum (REE),0.000000
1/1/2002,Lead,4650.380173
1/1/2002,Lithium,123.364005
1/1/2002,Lutetium (REE),0.000000
1/1/2002,Magnesium,1474.963454
1/1/2002,Manganese,3992.708305
1/1/2002,Molybdenum,6751.433746
1/1/2002,Neodymium (REE),17.662488
1/1/2002,Nickel,11188.018194
1/1/2002,Niobium,281.652894
1/1/2002,Palladium,0.000000
1/1/2002,Phosphate rock,0.000000
1/1/2002,Phosphorus,0.000000
1/1/2002,Platinum,0.000000
1/1/2002,Praseodymium (REE),20.911124
1/1/2002,Rhenium,0.000000
1/1/2002,Rhodium,0.000000
1/1/2002,Ruthenium,0.000000
1/1/2002,Samarium (REE),0.000000
1/1/2002,Scandium (REE),0.000000
1/1/2002,Selenium,0.565116
1/1/2002,Silicon,1725.123234
1/1/2002,Silver,50.979378
1/1/2002,Steel,12483578.614030
1/1/2002,Tantalum,3.135887
1/1/2002,Tellurium,1.092016
1/1/2002,Terbium (REE),6.964299
1/1/2002,Thulium,0.000000
1/1/2002,Tin,749.754042
1/1/2002,Titanium,0.000000
1/1/2002,Tungsten,26.830070
1/1/2002,Vanadium,632.731917
1/1/2002,Yetterbium (REE),0.000000
1/1/2002,Yttrium (REE),5.366012
1/1/2002,Zinc,44573.380660
1/1/2002,Zirconium,166.346375
1/1/2003,Aluminum,168206.296536
1/1/2003,Antimony,0.000000
1/1/2003,Arsenic,0.000000
1/1/2003,Baryte,0.000000
1/1/2003,Beryllium,0.000000
1/1/2003,Bismuth,0.000000
1/1/2003,Borate,0.000000
1/1/2003,Boron,7.704389
1/1/2003,Cadmium,3.778306
1/1/2003,Cerium (REE),0.000000
1/1/2003,Chromium,45959.485704
1/1/2003,Cobalt,169.720542
1/1/2003,Copper,64980.726861
1/1/2003,Dysprosium (REE),5.100650
1/1/2003,Erbium (REE),0.000000
1/1/2003,Europium (REE),0.000000
1/1/2003,Fluorspar,0.000000
1/1/2003,Gadolinium (REE),0.000000
1/1/2003,Gallium,0.300985
1/1/2003,Germanium,0.000000
1/1/2003,Gold,0.000000
1/1/2003,Graphite,0.000000
1/1/2003,Hafnium,2.045090
1/1/2003,Helium,0.000000
1/1/2003,Holmium (REE),0.000000
1/1/2003,Indium,4.581260
1/1/2003,Iridium,0.000000
1/1/2003,Iron,10870.362095
1/1/2003,Lanthanum (REE),0.000000
1/1/2003,Lead,6145.673201
1/1/2003,Lithium,123.731902
1/1/2003,Lutetium (REE),0.000000
1/1/2003,Magnesium,1966.679821
1/1/2003,Manganese,5424.452009
1/1/2003,Molybdenum,8585.941172
1/1/2003,Neodymium (REE),17.715161
1/1/2003,Nickel,20910.029988
1/1/2003,Niobium,313.647841
1/1/2003,Palladium,0.000000
1/1/2003,Phosphate rock,0.000000
1/1/2003,Phosphorus,0.000000
1/1/2003,Platinum,0.000000
1/1/2003,Praseodymium (REE),23.130298
1/1/2003,Rhenium,0.000000
1/1/2003,Rhodium,0.000000
1/1/2003,Ruthenium,0.000000
1/1/2003,Samarium (REE),0.000000
1/1/2003,Scandium (REE),0.000000
1/1/2003,Selenium,0.966323
1/1/2003,Silicon,2856.008008
1/1/2003,Silver,29.689907
1/1/2003,Steel,11840475.007119
1/1/2003,Tantalum,8.383386
1/1/2003,Tellurium,1.832792
1/1/2003,Terbium (REE),7.704005
1/1/2003,Thulium,0.000000
1/1/2003,Tin,863.101350
1/1/2003,Titanium,0.000000
1/1/2003,Tungsten,10.225523
1/1/2003,Vanadium,696.365641
1/1/2003,Yetterbium (REE),0.000000
1/1/2003,Yttrium (REE),2.045089
1/1/2003,Zinc,50893.231939
1/1/2003,Zirconium,63.397786
1/1/2004,Aluminum,151428.475561
1/1/2004,Antimony,0.000000
1/1/2004,Arsenic,0.000000
1/1/2004,Baryte,0.000000
1/1/2004,Beryllium,0.000000
1/1/2004,Bismuth,0.000000
1/1/2004,Borate,0.000000
1/1/2004,Boron,8.501593
1/1/2004,Cadmium,8.340643
1/1/2004,Cerium (REE),0.000000
1/1/2004,Chromium,33335.696502
1/1/2004,Cobalt,206.071346
1/1/2004,Copper,57321.553867
1/1/2004,Dysprosium (REE),5.132310
1/1/2004,Erbium (REE),0.000000
1/1/2004,Europium (REE),0.000000
1/1/2004,Fluorspar,0.000000
1/1/2004,Gadolinium (REE),0.000000
1/1/2004,Gallium,0.651518
1/1/2004,Germanium,0.000000
1/1/2004,Gold,0.000000
1/1/2004,Graphite,0.000000
1/1/2004,Hafnium,4.655318
1/1/2004,Helium,0.000000
1/1/2004,Holmium (REE),0.000000
1/1/2004,Indium,10.373639
1/1/2004,Iridium,0.000000
1/1/2004,Iron,13363.336547
1/1/2004,Lanthanum (REE),0.000000
1/1/2004,Lead,4867.208352
1/1/2004,Lithium,124.499910
1/1/2004,Lutetium (REE),0.000000
