Year,Technolgy,Energy
1/1/2000,Oil,446.903444
1/1/2000,Coal,1142.992770
1/1/2000,CoalCCS,0.000000
1/1/2000,NaturalGas,796.526160
1/1/2000,NaturalGasCCS,0.000000
1/1/2000,Nuclear,351.483000
1/1/2000,BiomassAndWaste,32.615000
1/1/2000,BiomassCCS,0.000000
1/1/2000,Hydro,686.363000
1/1/2000,Geothermal,8.322300
1/1/2000,WindOnshore,17.254000
1/1/2000,WindOffshore,0.000000
1/1/2000,SolarPV,0.987300
1/1/2000,SolarCSP,0.000000
1/1/2000,Ocean,0.477400
1/1/2000,Stationary Li-ion batteries,0.000000
1/1/2000,EV Li-ion batteries,0.239358
1/1/2001,Oil,444.344019
1/1/2001,Coal,1161.531760
1/1/2001,CoalCCS,0.000000
1/1/2001,NaturalGas,857.963509
1/1/2001,NaturalGasCCS,0.000000
1/1/2001,Nuclear,354.507000
1/1/2001,BiomassAndWaste,34.973000
1/1/2001,BiomassCCS,0.000000
1/1/2001,Hydro,696.115000
1/1/2001,Geothermal,8.119300
1/1/2001,WindOnshore,23.858000
1/1/2001,WindOffshore,0.000000
1/1/2001,SolarPV,1.230200
1/1/2001,SolarCSP,0.000000
1/1/2001,Ocean,0.425900
1/1/2001,Stationary Li-ion batteries,0.362865
1/1/2001,EV Li-ion batteries,-0.028263
1/1/2002,Oil,443.876598
1/1/2002,Coal,1178.772530
1/1/2002,CoalCCS,0.000000
1/1/2002,NaturalGas,953.118875
1/1/2002,NaturalGasCCS,0.000000
1/1/2002,Nuclear,359.873000
1/1/2002,BiomassAndWaste,36.883000
1/1/2002,BiomassCCS,0.000000
1/1/2002,Hydro,710.837000
1/1/2002,Geothermal,8.168300
1/1/2002,WindOnshore,30.822000
1/1/2002,WindOffshore,0.000000
1/1/2002,SolarPV,1.519700
1/1/2002,SolarCSP,0.000000
1/1/2002,Ocean,0.486900
1/1/2002,Stationary Li-ion batteries,0.725731
1/1/2002,EV Li-ion batteries,-0.257986
1/1/2003,Oil,444.077359
1/1/2003,Coal,1200.784830
1/1/2003,CoalCCS,0.000000
1/1/2003,NaturalGas,1032.630843
1/1/2003,NaturalGasCCS,0.000000
1/1/2003,Nuclear,361.918000
1/1/2003,BiomassAndWaste,39.048000
1/1/2003,BiomassCCS,0.000000
1/1/2003,Hydro,730.474000
1/1/2003,Geothermal,8.299300
1/1/2003,WindOnshore,38.524000
1/1/2003,WindOffshore,0.000000
1/1/2003,SolarPV,1.999700
1/1/2003,SolarCSP,0.000000
1/1/2003,Ocean,0.969900
1/1/2003,Stationary Li-ion batteries,1.088596
1/1/2003,EV Li-ion batteries,-0.434729
1/1/2004,Oil,437.782909
1/1/2004,Coal,1232.108950
1/1/2004,CoalCCS,0.000000
1/1/2004,NaturalGas,1084.290800
1/1/2004,NaturalGasCCS,0.000000
1/1/2004,Nuclear,366.573000
1/1/2004,BiomassAndWaste,41.878000
1/1/2004,BiomassCCS,0.000000
1/1/2004,Hydro,745.517000
1/1/2004,Geothermal,8.282300
1/1/2004,WindOnshore,47.018000
1/1/2004,WindOffshore,0.000000
1/1/2004,SolarPV,3.008100
1/1/2004,SolarCSP,0.000000
1/1/2004,Ocean,1.007900
1/1/2004,Stationary Li-ion batteries,1.451462
1/1/2004,EV Li-ion batteries,-0.537412
1/1/2005,Oil,436.107893
1/1/2005,Coal,1282.356130
1/1/2005,CoalCCS,0.000000
1/1/2005,NaturalGas,1128.689139
1/1/2005,NaturalGasCCS,0.000000
1/1/2005,Nuclear,370.186000
1/1/2005,BiomassAndWaste,47.909100
1/1/2005,BiomassCCS,0.000000
1/1/2005,Hydro,757.599000
1/1/2005,Geothermal,8.673100
1/1/2005,WindOnshore,59.342700
1/1/2005,WindOffshore,0.000000
1/1/2005,SolarPV,4.429100
1/1/2005,SolarCSP,0.000000
1/1/2005,Ocean,1.251900
1/1/2005,Stationary Li-ion batteries,1.814327
1/1/2005,EV Li-ion batteries,-0.536563
1/1/2006,Oil,433.709948
1/1/2006,Coal,1371.430780
1/1/2006,CoalCCS,0.000000
1/1/2006,NaturalGas,1175.210918
1/1/2006,NaturalGasCCS,0.000000
1/1/2006,Nuclear,371.672000
1/1/2006,BiomassAndWaste,52.188510
1/1/2006,BiomassCCS,0.000000
1/1/2006,Hydro,781.167000
1/1/2006,Geothermal,8.868300
1/1/2006,WindOnshore,73.087700
1/1/2006,WindOffshore,0.000000
1/1/2006,SolarPV,5.796500
1/1/2006,SolarCSP,0.000000
1/1/2006,Ocean,1.429900
1/1/2006,Stationary Li-ion batteries,2.177193
1/1/2006,EV Li-ion batteries,-0.390989
1/1/2007,Oil,431.589954
1/1/2007,Coal,1438.102390
1/1/2007,CoalCCS,0.000000
1/1/2007,NaturalGas,1216.895221
1/1/2007,NaturalGasCCS,0.000000
1/1/2007,Nuclear,371.621000
1/1/2007,BiomassAndWaste,54.802600
1/1/2007,BiomassCCS,0.000000
1/1/2007,Hydro,806.631000
1/1/2007,Geothermal,9.069300
1/1/2007,WindOnshore,91.665530
1/1/2007,WindOffshore,0.000000
1/1/2007,SolarPV,8.196000
1/1/2007,SolarCSP,0.000000
1/1/2007,Ocean,1.183500
1/1/2007,Stationary Li-ion batteries,2.540058
1/1/2007,EV Li-ion batteries,-0.043098
1/1/2008,Oil,431.421653
1/1/2008,Coal,1503.109800
1/1/2008,CoalCCS,0.000000
1/1/2008,NaturalGas,1257.403639
1/1/2008,NaturalGasCCS,0.000000
1/1/2008,Nuclear,371.626000
1/1/2008,BiomassAndWaste,60.397090
1/1/2008,BiomassCCS,0.000000
1/1/2008,Hydro,833.562000
1/1/2008,Geothermal,9.373300
1/1/2008,WindOnshore,116.207530
1/1/2008,WindOffshore,0.000000
1/1/2008,SolarPV,14.081800
1/1/2008,SolarCSP,0.000000
1/1/2008,Ocean,1.193500
1/1/2008,Stationary Li-ion batteries,2.902924
1/1/2008,EV Li-ion batteries,0.587612
1/1/2009,Oil,433.520563
1/1/2009,Coal,1566.748950
1/1/2009,CoalCCS,0.000000
1/1/2009,NaturalGas,1311.836717
1/1/2009,NaturalGasCCS,0.000000
1/1/2009,Nuclear,370.934700
1/1/2009,BiomassAndWaste,67.971380
1/1/2009,BiomassCCS,0.000000
1/1/2009,Hydro,863.166700
1/1/2009,Geothermal,9.866300
1/1/2009,WindOnshore,149.954350
1/1/2009,WindOffshore,0.000000
1/1/2009,SolarPV,21.853900
1/1/2009,SolarCSP,0.000000
1/1/2009,Ocean,1.224000
1/1/2009,Stationary Li-ion batteries,3.265789
1/1/2009,EV Li-ion batteries,1.613681
1/1/2010,Oil,438.640455
1/1/2010,Coal,1628.329519
1/1/2010,CoalCCS,0.000000
1/1/2010,NaturalGas,1370.852966
1/1/2010,NaturalGasCCS,0.000000
1/1/2010,Nuclear,375.220400
1/1/2010,BiomassAndWaste,74.519780
1/1/2010,BiomassCCS,0.000000
1/1/2010,Hydro,892.286700
1/1/2010,Geothermal,10.108000
1/1/2010,WindOnshore,180.394370
1/1/2010,WindOffshore,0.000000
1/1/2010,SolarPV,38.266400
1/1/2010,SolarCSP,0.000000
1/1/2010,Ocean,1.240000
1/1/2010,Stationary Li-ion batteries,3.628655
1/1/2010,EV Li-ion batteries,1.750292
1/1/2011,Oil,444.486307
1/1/2011,Coal,1713.500653
1/1/2011,CoalCCS,0.000000
1/1/2011,NaturalGas,1420.075538
1/1/2011,NaturalGasCCS,0.000000
