Year,Material,USD Low, USD Med, USD High
1/1/2001,Aluminum,175681456.376695,219601820.470869,263522184.565042
1/1/2001,Antimony,0.000000,0.000000,0.000000
1/1/2001,Arsenic,0.000000,0.000000,0.000000
1/1/2001,Baryte,0.000000,0.000000,0.000000
1/1/2001,Beryllium,0.000000,0.000000,0.000000
1/1/2001,Bismuth,0.000000,0.000000,0.000000
1/1/2001,Borate,0.000000,0.000000,0.000000
1/1/2001,Boron,1991.825007,2489.781259,2987.737510
1/1/2001,Cadmium,8070.104952,10087.631190,12105.157428
1/1/2001,Cerium (REE),0.000000,0.000000,0.000000
1/1/2001,Chromium,84955849.741475,106194812.176844,127433774.612213
1/1/2001,Cobalt,3605285.361169,4506606.701461,5407928.041754
1/1/2001,Copper,198363381.638070,247954227.047588,297545072.457105
1/1/2001,Dysprosium (REE),512955.069391,1325557.159515,2031505.225310
1/1/2001,Erbium (REE),0.000000,0.000000,0.000000
1/1/2001,Europium (REE),0.000000,0.000000,0.000000
1/1/2001,Fluorspar,0.000000,0.000000,0.000000
1/1/2001,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2001,Gallium,17168.172000,21460.215000,25752.258000
1/1/2001,Germanium,0.000000,0.000000,0.000000
1/1/2001,Gold,0.000000,0.000000,0.000000
1/1/2001,Graphite,0.000000,0.000000,0.000000
1/1/2001,Hafnium,2007936.000000,2509920.000000,3011904.000000
1/1/2001,Helium,0.000000,0.000000,0.000000
1/1/2001,Holmium (REE),0.000000,0.000000,0.000000
1/1/2001,Indium,1507542.456000,1884428.070000,2261313.684000
1/1/2001,Iridium,0.000000,0.000000,0.000000
1/1/2001,Iron,704567.495327,880709.369159,1056851.242991
1/1/2001,Lanthanum (REE),0.000000,0.000000,0.000000
1/1/2001,Lead,5380517.788017,6725647.235022,8070776.682026
1/1/2001,Lithium,1281290.005331,1601612.506664,1921935.007996
1/1/2001,Lutetium (REE),0.000000,0.000000,0.000000
1/1/2001,Magnesium,4052689.761533,5065862.201917,6079034.642300
1/1/2001,Manganese,11556.437009,14445.546261,17334.655513
1/1/2001,Molybdenum,92123817.380400,115154771.725500,138185726.070600
1/1/2001,Neodymium (REE),313094.820780,908415.958882,1464049.021111
1/1/2001,Nickel,-114267748.457708,-142834685.572135,-171401622.686562
1/1/2001,Niobium,4475404.032000,5594255.040000,6713106.048000
1/1/2001,Palladium,0.000000,0.000000,0.000000
1/1/2001,Phosphate rock,0.000000,0.000000,0.000000
1/1/2001,Phosphorus,0.000000,0.000000,0.000000
1/1/2001,Platinum,0.000000,0.000000,0.000000
1/1/2001,Praseodymium (REE),347028.560407,1593356.847355,2003842.058808
1/1/2001,Rhenium,0.000000,0.000000,0.000000
1/1/2001,Rhodium,0.000000,0.000000,0.000000
1/1/2001,Ruthenium,0.000000,0.000000,0.000000
1/1/2001,Samarium (REE),0.000000,0.000000,0.000000
1/1/2001,Scandium (REE),0.000000,0.000000,0.000000
1/1/2001,Selenium,16202.007519,20252.509399,24303.011279
1/1/2001,Silicon,258241.749247,322802.186559,387362.623871
1/1/2001,Silver,12899476.785802,16124345.982253,19349215.178703
1/1/2001,Steel,3476589780.741299,4345737225.926623,5214884671.111947
1/1/2001,Tantalum,-16837.632000,-21047.040000,-25256.448000
1/1/2001,Tellurium,50682.542400,63353.178000,76023.813600
1/1/2001,Terbium (REE),3566160.000000,4424680.000000,5679440.000000
1/1/2001,Thulium,0.000000,0.000000,0.000000
1/1/2001,Tin,10345824.129184,12932280.161480,15518736.193776
1/1/2001,Titanium,0.000000,0.000000,0.000000
1/1/2001,Tungsten,326592.000000,408240.000000,489888.000000
1/1/2001,Vanadium,12442521.904595,15553152.380744,18663782.856893
1/1/2001,Yetterbium (REE),0.000000,0.000000,0.000000
1/1/2001,Yttrium (REE),89208.000000,120960.000000,181440.000000
1/1/2001,Zinc,86695399.123345,108369248.904181,130043098.685018
1/1/2001,Zirconium,1199923.200000,1499904.000000,1799884.800000
1/1/2002,Aluminum,240385038.200953,300481297.751191,360577557.301429
1/1/2002,Antimony,0.000000,0.000000,0.000000
1/1/2002,Arsenic,0.000000,0.000000,0.000000
1/1/2002,Baryte,0.000000,0.000000,0.000000
1/1/2002,Beryllium,0.000000,0.000000,0.000000
1/1/2002,Bismuth,0.000000,0.000000,0.000000
1/1/2002,Borate,0.000000,0.000000,0.000000
1/1/2002,Boron,2100.502374,2625.627968,3150.753561
1/1/2002,Cadmium,13309.262412,16636.578015,19963.893618
1/1/2002,Cerium (REE),0.000000,0.000000,0.000000
1/1/2002,Chromium,294559203.302479,368199004.128098,441838804.953718
1/1/2002,Cobalt,4075974.362118,5094967.952648,6113961.543177
1/1/2002,Copper,247666223.603745,309582779.504681,371499335.405617
1/1/2002,Dysprosium (REE),513633.910964,1327311.393680,2034193.706790
1/1/2002,Erbium (REE),0.000000,0.000000,0.000000
1/1/2002,Europium (REE),0.000000,0.000000,0.000000
1/1/2002,Fluorspar,0.000000,0.000000,0.000000
1/1/2002,Gadolinium (REE),0.000000,0.000000,0.000000
1/1/2002,Gallium,21122.343618,26402.929523,31683.515427
1/1/2002,Germanium,0.000000,0.000000,0.000000
