Year,Material,Tons
1/1/2001,Aluminum,-2518.116413
1/1/2001,Antimony,-0.000000
1/1/2001,Arsenic,-0.000000
1/1/2001,Baryte,-0.000000
1/1/2001,Beryllium,-0.000000
1/1/2001,Bismuth,-0.000000
1/1/2001,Borate,-0.000000
1/1/2001,Boron,-0.000000
1/1/2001,Cadmium,-0.000000
1/1/2001,Cerium (REE),-0.000000
1/1/2001,Chromium,-11911.039807
1/1/2001,Cobalt,-123.793492
1/1/2001,Copper,-1309.408643
1/1/2001,Dysprosium (REE),-0.037735
1/1/2001,Erbium (REE),-0.000000
1/1/2001,Europium (REE),-0.000000
1/1/2001,Fluorspar,-0.000000
1/1/2001,Gadolinium (REE),-0.000000
1/1/2001,Gallium,-0.000000
1/1/2001,Germanium,-0.000000
1/1/2001,Gold,-0.000000
1/1/2001,Graphite,-0.000000
1/1/2001,Hafnium,-0.000000
1/1/2001,Helium,-0.000000
1/1/2001,Holmium (REE),-0.000000
1/1/2001,Indium,-0.000000
1/1/2001,Iridium,-0.000000
1/1/2001,Iron,-8826.092029
1/1/2001,Lanthanum (REE),-0.000000
1/1/2001,Lead,-3.002054
1/1/2001,Lithium,-0.915386
1/1/2001,Lutetium (REE),-0.000000
1/1/2001,Magnesium,-1.054966
1/1/2001,Manganese,-723.746071
1/1/2001,Molybdenum,-439.028100
1/1/2001,Neodymium (REE),-0.131059
1/1/2001,Nickel,-14915.572981
1/1/2001,Niobium,-13.771520
1/1/2001,Palladium,-0.000000
1/1/2001,Phosphate rock,-0.000000
1/1/2001,Phosphorus,-0.000000
1/1/2001,Platinum,-0.000000
1/1/2001,Praseodymium (REE),-0.000135
1/1/2001,Rhenium,-0.000000
1/1/2001,Rhodium,-0.000000
1/1/2001,Ruthenium,-0.000000
1/1/2001,Samarium (REE),-0.000000
1/1/2001,Scandium (REE),-0.000000
1/1/2001,Selenium,-0.000000
1/1/2001,Silicon,-0.000000
1/1/2001,Silver,-0.000000
1/1/2001,Steel,-260446.438125
1/1/2001,Tantalum,-0.129920
1/1/2001,Tellurium,-0.000000
1/1/2001,Terbium (REE),-0.000000
1/1/2001,Thulium,-0.000000
1/1/2001,Tin,-0.000000
1/1/2001,Titanium,-0.000000
1/1/2001,Tungsten,-0.000000
1/1/2001,Vanadium,-0.000000
1/1/2001,Yetterbium (REE),-0.000000
1/1/2001,Yttrium (REE),-0.000000
1/1/2001,Zinc,-0.608634
1/1/2001,Zirconium,-0.000000
1/1/2002,Aluminum,-975.261185
1/1/2002,Antimony,-0.000000
1/1/2002,Arsenic,-0.000000
1/1/2002,Baryte,-0.000000
1/1/2002,Beryllium,-0.000000
1/1/2002,Bismuth,-0.000000
1/1/2002,Borate,-0.000000
1/1/2002,Boron,0.000003
1/1/2002,Cadmium,0.000005
1/1/2002,Cerium (REE),-0.000000
1/1/2002,Chromium,-123.735592
1/1/2002,Cobalt,-106.284370
1/1/2002,Copper,-535.367467
1/1/2002,Dysprosium (REE),-0.032398
1/1/2002,Erbium (REE),-0.000000
1/1/2002,Europium (REE),-0.000000
1/1/2002,Fluorspar,-0.000000
1/1/2002,Gadolinium (REE),-0.000000
1/1/2002,Gallium,0.000000
1/1/2002,Germanium,-0.000000
1/1/2002,Gold,-0.000000
1/1/2002,Graphite,-0.000000
1/1/2002,Hafnium,0.000000
1/1/2002,Helium,-0.000000
1/1/2002,Holmium (REE),-0.000000
1/1/2002,Indium,0.000000
1/1/2002,Iridium,-0.000000
1/1/2002,Iron,-7577.747915
1/1/2002,Lanthanum (REE),-0.000000
1/1/2002,Lead,-2.575014
1/1/2002,Lithium,-0.785916
1/1/2002,Lutetium (REE),-0.000000
1/1/2002,Magnesium,-0.905621
1/1/2002,Manganese,-221.863753
1/1/2002,Molybdenum,0.026470
1/1/2002,Neodymium (REE),-0.112522
1/1/2002,Nickel,-241.035657
1/1/2002,Niobium,0.005852
1/1/2002,Palladium,-0.000000
1/1/2002,Phosphate rock,-0.000000
1/1/2002,Phosphorus,-0.000000
1/1/2002,Platinum,-0.000000
1/1/2002,Praseodymium (REE),-0.000107
1/1/2002,Rhenium,-0.000000
1/1/2002,Rhodium,-0.000000
1/1/2002,Ruthenium,-0.000000
1/1/2002,Samarium (REE),-0.000000
1/1/2002,Scandium (REE),-0.000000
1/1/2002,Selenium,0.000001
1/1/2002,Silicon,0.029117
1/1/2002,Silver,0.000128
1/1/2002,Steel,-19809.470968
1/1/2002,Tantalum,-0.000001
1/1/2002,Tellurium,0.000000
1/1/2002,Terbium (REE),0.000003
1/1/2002,Thulium,-0.000000
1/1/2002,Tin,0.021447
1/1/2002,Titanium,-0.000000
1/1/2002,Tungsten,0.000010
1/1/2002,Vanadium,0.000267
1/1/2002,Yetterbium (REE),-0.000000
1/1/2002,Yttrium (REE),-0.000000
1/1/2002,Zinc,0.208884
1/1/2002,Zirconium,0.000004
1/1/2003,Aluminum,-645.262864
1/1/2003,Antimony,-0.000000
1/1/2003,Arsenic,-0.000000
1/1/2003,Baryte,-0.000000
1/1/2003,Beryllium,-0.000000
1/1/2003,Bismuth,-0.000000
1/1/2003,Borate,-0.000000
1/1/2003,Boron,0.000020
1/1/2003,Cadmium,0.000035
1/1/2003,Cerium (REE),-0.000000
1/1/2003,Chromium,-94.547804
1/1/2003,Cobalt,-81.888344
1/1/2003,Copper,-394.463759
1/1/2003,Dysprosium (REE),-0.024962
1/1/2003,Erbium (REE),-0.000000
1/1/2003,Europium (REE),-0.000000
1/1/2003,Fluorspar,-0.000000
1/1/2003,Gadolinium (REE),-0.000000
