Technology, Material, Tech Intensity
Oil,Aluminum,500.000000
Oil,Antimony,0.000000
Oil,Arsenic,0.000000
Oil,Baryte,0.000000
Oil,Beryllium,0.000000
Oil,Bismuth,0.000000
Oil,Borate,0.000000
Oil,Boron,0.000000
Oil,Cadmium,0.000000
Oil,Cerium (REE),0.000000
Oil,Chromium,0.000000
Oil,Cobalt,0.000000
Oil,Copper,90.000000
Oil,Dysprosium (REE),0.000000
Oil,Erbium (REE),0.000000
Oil,Europium (REE),0.000000
Oil,Fluorspar,0.000000
Oil,Gadolinium (REE),0.000000
Oil,Gallium,0.000000
Oil,Germanium,0.000000
Oil,Gold,0.000000
Oil,Graphite,0.000000
Oil,Hafnium,0.000000
Oil,Helium,0.000000
Oil,Holmium (REE),0.000000
Oil,Indium,0.000000
Oil,Iridium,0.000000
Oil,Iron,0.000000
Oil,Lanthanum (REE),0.000000
Oil,Lead,0.000000
Oil,Lithium,0.000000
Oil,Lutetium (REE),0.000000
Oil,Magnesium,0.000000
Oil,Manganese,0.000000
Oil,Molybdenum,0.000000
Oil,Neodymium (REE),0.000000
Oil,Nickel,0.000000
Oil,Niobium,0.000000
Oil,Palladium,0.000000
Oil,Phosphate rock,0.000000
Oil,Phosphorus,0.000000
Oil,Platinum,0.000000
Oil,Praseodymium (REE),0.000000
Oil,Rhenium,0.000000
Oil,Rhodium,0.000000
Oil,Ruthenium,0.000000
Oil,Samarium (REE),0.000000
Oil,Scandium (REE),0.000000
Oil,Selenium,0.000000
Oil,Silicon,0.000000
Oil,Silver,0.000000
Oil,Steel,52500.000000
Oil,Tantalum,0.000000
Oil,Tellurium,0.000000
Oil,Terbium (REE),0.000000
Oil,Thulium,0.000000
Oil,Tin,0.000000
Oil,Titanium,0.000000
Oil,Tungsten,0.000000
Oil,Vanadium,0.000000
Oil,Yetterbium (REE),0.000000
Oil,Yttrium (REE),0.000000
Oil,Zinc,0.000000
Oil,Zirconium,0.000000
Coal,Aluminum,500.000000
Coal,Antimony,0.000000
Coal,Arsenic,0.000000
Coal,Baryte,0.000000
Coal,Beryllium,0.000000
Coal,Bismuth,0.000000
Coal,Borate,0.000000
Coal,Boron,0.000000
Coal,Cadmium,0.000000
Coal,Cerium (REE),0.000000
Coal,Chromium,0.000000
Coal,Cobalt,0.000000
Coal,Copper,90.000000
Coal,Dysprosium (REE),0.000000
Coal,Erbium (REE),0.000000
Coal,Europium (REE),0.000000
Coal,Fluorspar,0.000000
Coal,Gadolinium (REE),0.000000
Coal,Gallium,0.000000
Coal,Germanium,0.000000
Coal,Gold,0.000000
Coal,Graphite,0.000000
Coal,Hafnium,0.000000
Coal,Helium,0.000000
Coal,Holmium (REE),0.000000
Coal,Indium,0.000000
Coal,Iridium,0.000000
Coal,Iron,0.000000
Coal,Lanthanum (REE),0.000000
Coal,Lead,0.000000
Coal,Lithium,0.000000
Coal,Lutetium (REE),0.000000
Coal,Magnesium,0.000000
Coal,Manganese,0.000000
Coal,Molybdenum,0.000000
Coal,Neodymium (REE),0.000000
Coal,Nickel,0.000000
Coal,Niobium,0.000000
Coal,Palladium,0.000000
Coal,Phosphate rock,0.000000
Coal,Phosphorus,0.000000
Coal,Platinum,0.000000
Coal,Praseodymium (REE),0.000000
Coal,Rhenium,0.000000
Coal,Rhodium,0.000000
Coal,Ruthenium,0.000000
Coal,Samarium (REE),0.000000
Coal,Scandium (REE),0.000000
Coal,Selenium,0.000000
Coal,Silicon,0.000000
Coal,Silver,0.000000
Coal,Steel,52500.000000
Coal,Tantalum,0.000000
Coal,Tellurium,0.000000
Coal,Terbium (REE),0.000000
Coal,Thulium,0.000000
Coal,Tin,0.000000
Coal,Titanium,0.000000
Coal,Tungsten,0.000000
Coal,Vanadium,0.000000
Coal,Yetterbium (REE),0.000000
Coal,Yttrium (REE),0.000000
Coal,Zinc,0.000000
Coal,Zirconium,0.000000
CoalCCS,Aluminum,500.000000
CoalCCS,Antimony,0.000000
CoalCCS,Arsenic,0.000000
CoalCCS,Baryte,0.000000
CoalCCS,Beryllium,0.000000
CoalCCS,Bismuth,0.000000
CoalCCS,Borate,0.000000
CoalCCS,Boron,0.000000
CoalCCS,Cadmium,0.000000
CoalCCS,Cerium (REE),0.000000
CoalCCS,Chromium,326.000000
CoalCCS,Cobalt,8.000000
CoalCCS,Copper,782.000000
CoalCCS,Dysprosium (REE),0.000000
CoalCCS,Erbium (REE),0.000000
CoalCCS,Europium (REE),0.000000
CoalCCS,Fluorspar,0.000000
CoalCCS,Gadolinium (REE),0.000000
CoalCCS,Gallium,0.000000
CoalCCS,Germanium,0.000000
CoalCCS,Gold,0.000000
CoalCCS,Graphite,0.000000
CoalCCS,Hafnium,0.000000
CoalCCS,Helium,0.000000
